id,far_part,flt_plan_filed,acft_make,acft_model,total_seats,num_eng,fixed_retractable,cert_max_gr_wt,acft_category,homebuilt,type_last_insp,afm_hrs_last_insp,afm_hrs,elt_install,elt_type,oper_dba,certs_held,type_fly,second_pilot,dprt_apt_id,dprt_time,dest_apt_id,site_seeing,air_medical,flight_hours_mean,crew_category,crew_sex,pc_profession,crew_tox_perf,mr_faa_med_certf,available_restraint,eng_no,eng_type,eng_mfgr,eng_model,power_units,hp_or_lbs,carb_fuel_injection,propeller_type,subcategory_no
20080115X000511,091,NONE,Cessna,152,2.0,1.0,FIXD,1670.0,AIR,N,ANNL,,5835.2998046875,Y,,,Y,INST,N,KFNL,2215.0,KFNL,N,N,18.0,DSTU,M,No,N,,,1,REC,Lycoming,O-235-L2C,110.0,HP,CARB,,6
20080116X000631,135,CVFR,PIPER,PA-31-350,10.0,2.0,RETR,7368.0,AIR,N,100H,27.0,13130.0,Y,,,Y,,N,ADQ ,1743.0,HOM ,N,N,9437.0,PLT,M,Yes,Y,,,1,REC,Lycoming,TIO-540 Serie,350.0,HP,FINJ,,3
20080122X000871,091,CVFR,BELL,407,7.0,1.0,FIXD,5000.0,HELI,N,,,3895.0,Y,,,Y,POSI,N,DED ,2331.0,NONE,N,N,3120.0,PLT,M,Yes,N,,,1,TS,Rolls Royce,250-C47B,674.0,HP,,,5
20080220X002121,091,NONE,Bellanca,7GCBC,2.0,1.0,FIXD,1650.0,AIR,N,ANNL,7.0,1100.0,Y,,,Y,PERS,,,,,N,N,4600.0,PLT,M,UNK,N,,,1,REC,Lycoming,O-320,150.0,HP,CARB,,6
20080207X001531,091,NONE,Bell,206 B2,5.0,1.0,FIXD,,HELI,N,ANNL,,,N,,,Y,PERS,N,POC ,,POC ,N,N,6500.0,PLT,M,,N,,,1,TS,Rolls-Royce,250 C-20B,400.0,HP,,,4
20080116X000621,091,NONE,Cessna,340,6.0,2.0,RETR,6290.0,AIR,N,ANNL,,6820.2001953125,Y,,,Y,PERS,N,MFD ,,PCW ,N,N,1160.0,PLT,M,No,Y,,,1,REC,Continental,TSIO-520-J(1),310.0,HP,FINJ,,6
20080128X001111,091,IFR,PIPER,PA46-500TP,6.0,1.0,RETR,4850.0,AIR,N,,66.0,111.0,Y,UNK,,Y,PERS,N,ACT ,1702.0,SAT ,N,N,1049.0,PLT,M,No,Y,,,1,TP,Pratt & Whitney Canada,PT6A-42A,500.0,HP,,,6
20080312X003021,091,NONE,Piper,PA-32-260,6.0,1.0,FIXD,3400.0,AIR,N,UNK,,,,,,Y,PERS,N,KACJ,430.0,KPDK,N,N,600.0,PLT,M,No,N,,,1,REC,Lycoming,O-540-E4B5,260.0,HP,CARB,,6
20080312X003001,091,NONE,Quicksilver,Sport 2S,2.0,1.0,FIXD,996.0,AIR,N,UNK,,4.699999809265137,Y,,,Y,PERS,N,NONE,1358.0,NONE,N,N,14270.0,PLT,M,Yes,N,,,1,REC,Rotax,582UL99,65.0,HP,CARB,,2
20080123X000981,091,IFR,Beechcraft,V35B,4.0,1.0,RETR,3500.0,AIR,N,100H,,2931.0,Y,C91A,,Y,PERS,N,KFHC,2150.0,KMYF,N,N,8000.0,PLT,M,No,Y,,,1,REC,Teledyne Continental,IO-520-BA14,285.0,HP,FINJ,,3
20080220X002131,091,NONE,Waltermire,Glastar,,1.0,FIXD,,AIR,Y,,,,,,,Y,PERS,,VCB ,2000.0,VCB ,N,N,1125.0,PLT,M,,N,,,1,REC,Lycoming,O-320-B1A,160.0,HP,,,6
20080411X004561,121,IFR,Fairchild,SA227-AC,19.0,2.0,RETR,16000.0,AIR,N,COAW,,36207.0,Y,,,Y,,Y,L-2G,1700.0,PANC,N,N,5105.5,PLT,M,Yes,N,,,1,TP,Honeywell,TPE331-11U,1000.0,HP,,,2
20080514X006671,121,IFR,Airbus,A320,,2.0,FIXD,169756.0,AIR,N,,,27021.0,Y,,,Y,,Y,EWR ,,DEN ,N,N,9750.0,PLT,M,Yes,N,,U,1,TF,Iae,V2500SERIES,9895.0,HP,,,2
20080205X001361,091,NONE,PIPER,PA32-301FT,6.0,1.0,RETR,3600.0,AIR,N,ANNL,,230.0,Y,UNK,,Y,PERS,N,T74 ,957.0,MAI ,N,N,280.0,PLT,M,No,N,,,1,REC,LYCOMING,IO-540-K1G5,300.0,HP,FINJ,,2
20080207X001481,091,CVFR,GRUMMAN,G-21A,6.0,2.0,FIXD,9200.0,AIR,N,ANNL,38.0,24456.0,Y,UNK,,Y,PERS,N,MTH ,2145.0,MTH ,N,N,16000.0,PLT,M,Yes,N,,,1,REC,Pratt & Whitney,R985-AN-14B,450.0,HP,CARB,,6
20080318X003261,091,NONE,AirIndus,Thorpedo T211,2.0,1.0,FIXD,1270.0,AIR,N,ANNL,410.0,410.0,Y,,,Y,PERS,N,RMN ,1715.0,,N,N,63.0,PLT,M,No,N,,,1,REC,Jabiru,3300-A,120.0,HP,CARB,,6
20080206X001421,091,NONE,CIRRUS DESIGN CORP,SR22,4.0,1.0,FIXD,,AIR,N,ANNL,42.59999847412109,198.3000030517578,Y,UNK,,Y,INST,Y,1K2 ,2259.0,,N,N,1382.5,FLTI,M,Yes,Y,,,1,REC,CONT MOTOR,IO-550-N,310.0,HP,,,6
20080211X001671,091,NONE,Bellanca,17-30A,4.0,1.0,RETR,3325.0,AIR,N,ANNL,,3155.0,Y,,,Y,PERS,N,KPAE,2015.0,KPAE,N,N,532.0,PLT,M,No,N,,,1,REC,Continental,IO-520-K1B,300.0,HP,FINJ,,5
20080306X002731,091,NONE,James Dayton,Pit Bull JD-3,1.0,1.0,FIXD,500.0,GYRO,Y,,,0.0,N,,,Y,FLTS,N,2W6 ,,2W6 ,N,N,750.0,PLT,M,UNK,N,,,1,REC,Subaru,EA81,108.0,HP,CARB,,6
20080225X002331,091,NONE,Luscombe,8E,,1.0,FIXD,,AIR,N,,,,,,,Y,PERS,,BMC ,,BMC ,N,N,750.0,PLT,M,,N,,,1,REC,Continental,C85,,,,,2
20080211X001731,091,NONE,Smith,Zodiac 601XL,2.0,1.0,FIXD,1320.0,AIR,N,COND,,,Y,,,Y,PERS,N,F70 ,1916.0,F70 ,N,N,138.0,PLT,M,No,N,,,1,REC,General Motors,Corvair/T1123,100.0,HP,CARB,,2
20080222X002271,091,CVFR,Eurocopter France,AS350B2,4.0,1.0,FIXD,4961.0,HELI,N,AAIP,9.0,10307.0,Y,C91A,,Y,POSI,N,49TX,240.0,,N,Y,16896.0,PLT,M,Yes,Y,,,1,TS,Turbomeca,Arriel 1D1,732.0,HP,,,6
