,id,far_part,flt_plan_filed,acft_make,acft_model,total_seats,num_eng,fixed_retractable,cert_max_gr_wt,acft_category,homebuilt,type_last_insp,afm_hrs_last_insp,afm_hrs,certs_held,type_fly,second_pilot,dprt_apt_id,dprt_time,dest_apt_id,site_seeing,air_medical,flight_hours_mean,crew_category,crew_sex,pc_profession,crew_tox_perf,mr_faa_med_certf,available_restraint,eng_no,eng_type,eng_mfgr,power_units,hp_or_lbs,carb_fuel_injection,subcategory_no,ev_date,ev_dow,ev_time,ev_country,ev_year,ev_month,mid_air,on_ground_collision,latitude,longitude,apt_name,apt_dist,apt_dir,apt_elev,wx_obs_time,wx_obs_dir,wx_obs_elev,wx_obs_dist,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_rvr,vis_rvv,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_dir_ind,wind_vel_kts,wind_vel_ind,gust_ind,gust_kts,altimeter,wx_dens_alt,wx_int_precip,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,wx_cond_basic
0,20080115X000511,091,NONE,Cessna,152,2.0,1.0,FIXD,1670.0,AIR,N,ANNL,,5835.2998046875,Y,INST,N,KFNL,2215.0,KFNL,N,N,18.0,DSTU,M,No,N,,,1,REC,Lycoming,110.0,HP,CARB,6,2008-01-02,We,2230.0,USA,2008,1,,,040276N,0010504W,Fort Collins Loveland,1.0,,5016.0,2235.0,180.0,,1.0,DAYL,CLER,0.0,0.0,NONE,,,10.0,19.0,7.0,150.0,U,5.0,F,T,0.0,30.26000022888184,,,NONE,,,,0,0,1,0,1.0,VMC
1,20080116X000631,135,CVFR,PIPER,PA-31-350,10.0,2.0,RETR,7368.0,AIR,N,100H,27.0,13130.0,Y,,N,ADQ ,1743.0,HOM ,N,N,9437.0,PLT,M,Yes,Y,,,1,REC,Lycoming,350.0,HP,FINJ,3,2008-01-05,Sa,1743.0,USA,2008,1,,,057452N,0152287W,Kodiak,0.0,,78.0,1753.0,0.0,78.0,0.0,DAYL,FEW,1600.0,0.0,,,,10.0,25.0,14.0,300.0,U,17.0,F,F,26.0,28.959999084472656,,,FATL,,,,6,1,0,3,10.0,VMC
2,20080122X000871,091,CVFR,BELL,407,7.0,1.0,FIXD,5000.0,HELI,N,,,3895.0,Y,POSI,N,DED ,2331.0,NONE,N,N,3120.0,PLT,M,Yes,N,,,1,TS,Rolls Royce,674.0,HP,,5,2008-01-07,Mo,2345.0,USA,2008,1,,,028594N,0811758W,,0.0,,,2353.0,230.0,34.0,15.0,DAYL,FEW,2000.0,7000.0,BKN,,,10.0,66.0,61.0,70.0,U,4.0,F,T,0.0,30.299999237060547,,,NONE,,,,0,0,2,0,2.0,VMC
3,20080220X002121,091,NONE,Bellanca,7GCBC,2.0,1.0,FIXD,1650.0,AIR,N,ANNL,7.0,1100.0,Y,PERS,,,,,N,N,4600.0,PLT,M,UNK,N,,,1,REC,Lycoming,150.0,HP,CARB,6,2008-01-07,Mo,1915.0,USA,2008,1,,,361419N,0119835W,THUNDERHAWK FIELD,0.0,,340.0,1915.0,90.0,,13.0,DAYL,CLER,0.0,0.0,NONE,,,10.0,52.0,43.0,340.0,U,8.0,F,T,0.0,30.09000015258789,,,NONE,,,,0,0,2,0,2.0,VMC
4,20080207X001531,091,NONE,Bell,206 B2,5.0,1.0,FIXD,,HELI,N,ANNL,,,Y,PERS,N,POC ,,POC ,N,N,6500.0,PLT,M,,N,,,1,TS,Rolls-Royce,400.0,HP,,4,2008-01-13,Su,15.0,USA,2008,1,,,035529N,1174654W,BRACKETT FIELD,0.0,,,,0.0,,0.0,DAYL,CLER,0.0,0.0,NONE,,,30.0,72.0,0.0,0.0,Y,,T,T,0.0,0.0,,,NONE,,,,0,0,2,0,2.0,VMC
5,20080116X000621,091,NONE,Cessna,340,6.0,2.0,RETR,6290.0,AIR,N,ANNL,,6820.2001953125,Y,PERS,N,MFD ,,PCW ,N,N,1160.0,PLT,M,No,Y,,,1,REC,Continental,310.0,HP,FINJ,6,2008-01-12,Sa,1739.0,USA,2008,1,,,413138N,0825212W,CARL R KELLER FIELD,1.0,,590.0,1715.0,290.0,622.0,35.0,DAYL,SCAT,2400.0,0.0,NONE,,,10.0,36.0,25.0,0.0,Y,4.0,T,T,0.0,30.09000015258789,,,FATL,,,,4,0,0,0,4.0,VMC
6,20080128X001111,091,IFR,PIPER,PA46-500TP,6.0,1.0,RETR,4850.0,AIR,N,,66.0,111.0,Y,PERS,N,ACT ,1702.0,SAT ,N,N,1049.0,PLT,M,No,Y,,,1,TP,Pratt & Whitney Canada,500.0,HP,,6,2008-01-18,Fr,1830.0,USA,2008,1,,,292047N,0981740W,San Antonio International,17.0,,809.0,1804.0,230.0,577.0,6.0,DAYL,CLER,0.0,600.0,OVC,,,2.0,37.0,36.0,360.0,U,10.0,F,T,0.0,30.1299991607666,,,FATL,,,,1,0,0,0,1.0,IMC
7,20080312X003021,091,NONE,Piper,PA-32-260,6.0,1.0,FIXD,3400.0,AIR,N,UNK,,,Y,PERS,N,KACJ,430.0,KPDK,N,N,600.0,PLT,M,No,N,,,1,REC,Lycoming,260.0,HP,CARB,6,2008-01-14,Mo,518.0,USA,2008,1,,,335232N,0084187W,Dekalb-Peachtree Airport,0.0,,1003.0,453.0,0.0,1003.0,0.0,NITE,CLER,0.0,0.0,NONE,,,10.0,43.0,32.0,280.0,U,7.0,F,T,0.0,30.049999237060547,,,NONE,,,,0,0,1,0,1.0,VMC
8,20080312X003001,091,NONE,Quicksilver,Sport 2S,2.0,1.0,FIXD,996.0,AIR,N,UNK,,4.699999809265137,Y,PERS,N,NONE,1358.0,NONE,N,N,14270.0,PLT,M,Yes,N,,,1,REC,Rotax,65.0,HP,CARB,2,2008-01-19,Sa,1900.0,USA,2008,1,,,034052N,0008778W,,0.0,,,2000.0,45.0,969.0,19.0,DAYL,SCAT,6000.0,0.0,NONE,,,10.0,52.0,21.0,300.0,U,8.0,F,T,0.0,30.209999084472656,,,NONE,,,,0,0,2,0,2.0,VMC
9,20080123X000981,091,IFR,Beechcraft,V35B,4.0,1.0,RETR,3500.0,AIR,N,100H,,2931.0,Y,PERS,N,KFHC,2150.0,KMYF,N,N,8000.0,PLT,M,No,Y,,,1,REC,Teledyne Continental,285.0,HP,FINJ,3,2008-01-18,Fr,2200.0,USA,2008,1,,,363354N,1194326W,Fresno Chandler Executive,12.0,,279.0,2153.0,360.0,336.0,13.0,DAYL,CLER,0.0,0.0,NONE,,,5.0,55.0,34.0,290.0,U,3.0,F,T,0.0,30.200000762939453,,,FATL,,,,1,0,0,0,1.0,VMC
